id,post_node_id,post_skel_id,post_x,post_y,post_z,pre_node_id,pre_skel_id,pre_x,pre_y,pre_z
125,7858505,2433851,351011,161704,190720,7858468,23829,351102,161810,190600
128,4513924,1092952,373253,140034,192080,4513920,23829,373148,140241,192080
129,7809390,2407036,371059,141040,192920,7809367,23829,370947,140809,193080
130,7856470,2432074,384600,137303,189320,7856420,23829,384683,136959,189360
131,8267721,2635738,371673,109619,164680,8267707,23829,371871,109715,164600
133,7787826,2659704,372107,150237,187320,7787822,23829,372008,150117,187320
134,7854309,2419600,361700,154367,193400,7854307,23829,361652,154207,193400
135,7860349,2435135,378195,141342,192480,7860345,23829,378407,141362,192480
136,8291039,2650003,345545,161512,155080,8290933,23829,345467,161889,155520
137,8277784,2641967,342696,165245,172080,8277780,23829,342876,165231,172080
138,7791466,2394629,377204,114996,167720,4514152,23829,377252,114964,167840
140,8322486,2659649,346094,169796,168920,8322481,23829,346225,169871,168840
141,8322581,2659976,347473,171935,168000,8322579,23829,347617,171827,168000
142,7783440,2388772,384584,121630,179000,7783429,23829,384690,121889,178960
143,7791585,2394807,376296,114878,168080,7791532,23829,376481,114942,167920
144,7859335,2434655,388177,137275,189880,7859329,23829,388134,137067,189920
145,7227316,2131800,354504,145632,200520,7227297,23829,354834,145265,200600
146,8265090,2634430,378691,115470,169320,7792488,23829,378441,115593,169400
147,52714820,13173987,371577,147605,191440,7226777,23829,371298,147666,191520
150,7819275,2415050,346065,163210,190080,4524959,23829,346212,163115,190160
151,8270475,2637634,341865,164062,179240,8270471,23829,342073,164110,179240
152,4513853,1092689,387784,136420,189400,4513851,23829,387632,136291,189400
153,7226582,2129700,349871,161204,189520,4515371,23829,349618,161177,189400
154,7854487,2429180,371324,146068,192000,7854471,23829,371262,146128,192200
157,8324589,2662998,346006,161921,154080,8324557,23829,345994,162066,154200
158,7856522,2432158,384157,138671,189800,7856515,23829,384324,138440,189760
160,7798424,2402394,333401,157528,186720,7798422,23829,333593,157434,186640
161,7860946,2435611,379315,145548,193480,7860916,23829,379224,145335,193560
165,7854600,1710886,372116,145544,191560,7854583,23829,372369,145254,191680
168,7814757,2410548,382566,142389,188240,7814753,23829,382350,142485,188200
171,7795418,2398672,343863,168244,178200,4515611,23829,344032,168178,178120
172,4514096,1093559,378697,116640,169760,4514091,23829,378637,116417,169760
173,7836532,2424839,394510,128395,182560,4513610,23829,394394,128221,182680
174,8281260,2643905,347137,168876,166040,8281205,23829,346872,168825,166080
176,5409006,1093041,375517,141692,191880,5409005,23829,375454,141794,191880
179,4526657,1098360,338344,162270,186600,4526654,23829,338533,162043,186600
180,7796764,2400341,343968,164433,183320,4515503,23829,343937,164202,183320
183,7227206,2131490,395704,130509,185280,7227200,23829,395883,130761,185320
184,8271278,2638346,342961,165131,178400,8271250,23829,343265,164894,178360
186,7739391,2363338,364922,150537,183840,7736695,23829,364765,150572,183680
187,7748383,2370473,351725,160003,190960,7748374,23829,351923,159847,190880
188,8273431,2639765,343044,164737,175520,8273310,23829,342649,164530,175880
190,4514284,1094215,372168,147474,191320,4514281,23829,371838,147354,191320
191,7224415,2126907,331113,156147,167760,4527711,23829,331399,156149,167920
192,7796648,2400231,343590,165439,182960,7796639,23829,343582,165276,183000
193,7789999,2393231,339392,161366,185480,4526663,23829,339638,161120,185400
194,7829265,2419517,344156,168276,179000,7829155,23829,344184,168204,179040
196,7739371,2363321,364789,150298,183680,7736695,23829,364765,150572,183680
197,8324819,2663293,349178,169022,161080,8324804,23829,349245,168654,161040
198,7854315,2428818,361686,154320,193320,7854307,23829,361652,154207,193400
199,8273688,2639904,342366,164951,175800,8273671,23829,342430,164917,175720
202,4514018,1093294,367361,144068,197480,4514014,23829,367428,143928,197480
204,7226744,2130176,356465,158369,192600,4514289,23829,356260,158553,192680
205,7226805,1710886,372189,147037,190640,4514281,23829,371838,147354,191320
206,8271055,2638147,343221,163803,178400,8270971,23829,343297,163862,178560
207,4515428,1094711,344655,162565,184120,4515421,23829,344648,162617,184000
209,7796229,2399394,342878,167041,180640,4515551,23829,343062,166718,180520
210,7814326,2409911,380495,144249,187560,7814315,23829,380631,144146,187480
214,7833412,2419600,373127,149584,188200,7833337,23829,373340,149673,188400
215,7794493,2397297,382224,119505,175880,7794474,23829,382330,119833,175640
216,7787749,2391244,370154,151146,185400,7787740,23829,370235,150907,185440
217,8264191,2633926,396029,128621,182000,8264188,23829,395716,128537,182000
218,7226303,11524508,339759,160710,187440,4526620,23829,339694,160870,187360
221,7860553,2435381,377546,141140,192600,7860505,23829,377645,141384,192760
223,7809282,2406824,369977,141266,193560,4513966,23829,369732,141265,193680
231,4515582,1095273,344490,167500,179200,4515580,23829,344332,167567,179200
232,7792002,2395241,378563,116227,168800,4514125,23829,378512,116092,168880
234,7817521,2413607,379522,129990,188160,3340080,23829,379691,130149,188320
235,8322714,2660238,348563,172189,167240,8322696,23829,348537,172388,167160
236,7819044,2414870,347524,162779,190800,4524005,23829,347671,162776,190920
239,7738408,2362306,360481,152190,186800,7736912,23829,360573,152324,186840
240,7818968,2414794,347919,163872,190920,4523955,23829,347764,163682,191000
241,8323363,2661305,349896,167727,157800,8323360,23829,349800,167879,157800
243,4514026,1093315,366160,143451,197560,4514024,23829,366280,143582,197560
244,8283925,2393231,341577,166111,172680,8283907,23829,340994,165711,172640
245,8277787,2641973,342931,165443,172080,8277780,23829,342876,165231,172080
247,7814401,2410019,382314,142820,187800,7814375,23829,382159,142969,187720
248,8288397,2648917,343506,162374,163800,8288387,23829,343394,162718,163760
249,4527068,1098692,335974,160624,185040,4527065,23829,336058,160753,185040
250,8286380,2647589,338286,163075,163280,8286317,23829,338327,163008,163440
252,4515646,1095523,344527,168753,177320,4515642,23829,344692,168641,177280
253,4515522,1095062,344381,165896,183120,4515518,23829,344267,165749,183120
254,7226200,2128851,337564,161024,186560,7226195,23829,337768,161180,186560
255,7752013,2372434,367214,128597,193200,4513800,23829,367566,127950,193040
256,7738313,2362198,361074,152370,186920,7736917,23829,360702,152556,186920
257,7748406,2370491,351994,159731,190800,7748374,23829,351923,159847,190880
261,16071969,2659704,346252,168150,167520,8280377,23829,346132,167835,167400
262,7751944,2372363,367240,127879,192840,4513800,23829,367566,127950,193040
263,8324824,2663314,349392,168684,161120,8324804,23829,349245,168654,161040
268,7818429,1093864,378477,115791,167280,4514170,23829,378666,115824,167200
269,6609460,1848796,347013,169725,164480,6609457,23829,346851,169475,164480
270,7739442,2363419,365105,150046,183680,7736691,23829,364341,150372,183640
273,7827320,11524200,383890,147050,188920,7827290,23829,383856,147507,189000
274,7871921,2443158,381423,143911,186880,7871917,23829,381476,143825,186960
276,7835595,2424131,370740,114501,164480,7835574,23829,370468,114643,164400
277,7860156,2435066,396448,128811,181480,7860109,23829,396005,128926,181360
279,7226975,2130950,380111,141144,191080,4513893,23829,380173,141102,190880
282,8325661,2664531,347601,169862,164720,8289979,23829,347242,169995,164640
284,4515623,1710886,345381,168482,178240,4515620,23829,345391,168604,178160
285,18254563,1870230,341852,154260,195480,7815966,23829,341904,154456,195640
286,7752166,2372490,366926,128063,193040,7752146,23829,366978,128185,193080
287,8324028,2662333,345117,160687,154680,8324025,23829,345329,160828,154680
288,7820579,2416077,345022,166863,184360,7820542,23829,345046,166630,184280
289,7226432,2129417,341142,160547,189320,4526604,23829,341315,160732,189520
290,7792503,2395734,378083,115649,169480,7792488,23829,378441,115593,169400
291,7859388,2434792,388614,136295,189840,7859366,23829,388546,136367,189720
292,4515639,1095492,344521,168715,177640,4515633,23829,344607,168601,177720
293,8325196,2663715,350268,169898,160560,8325178,23829,350238,169670,160600
294,4527084,1098720,336655,160474,184600,4527080,23829,336516,160454,184600
296,8323619,2661729,346195,161628,154840,8323603,23829,346275,161786,154920
297,7738440,2362359,360708,152134,187040,7736912,23829,360573,152324,186840
298,8325073,2663564,350323,169024,160920,8325071,23829,350268,169199,160920
300,7861373,2435942,384220,136805,190720,7861348,23829,384170,136636,190600
301,6728838,1894990,346216,161182,154480,6728833,23829,346119,161379,154520
303,4515357,1094430,348451,163290,189680,4515355,23829,348684,163284,189680
304,8266403,2635125,370647,139731,193160,8266393,23829,370277,139701,193200
305,7226887,2130733,379470,141834,191440,7226875,23829,379130,141892,191400
306,8324260,2662625,344419,161288,154600,8324243,23829,344552,161140,154480
307,19322805,5720540,350211,169142,161080,8325071,23829,350268,169199,160920
308,8270412,2637538,342837,164630,179520,8270409,23829,342841,164474,179520
309,8266480,2635177,373986,143342,191640,8266476,23829,374374,143262,191640
313,8274083,2640115,342460,166232,175360,8274073,23829,342400,165840,175360
314,7785886,2390375,390943,127782,181920,7785876,23829,391001,127758,181800
315,7836562,2424889,395638,128195,182680,7836545,23829,395469,128212,182640
316,7867688,2440139,348577,154723,196960,7867686,23829,348781,154787,196960
318,7787267,2390780,369348,151294,184280,7787263,23829,369524,151157,184280
319,7826914,2418170,383625,147564,189600,7826880,23829,383534,147537,189520
321,8270976,1870230,343521,163870,178560,8270971,23829,343297,163862,178560
322,7820248,2415803,346099,166820,184520,7820240,23829,345865,166638,184480
323,8265455,2634655,344727,164601,183840,8265451,23829,344559,164421,183840
324,8323379,2661342,349678,168238,157840,8323360,23829,349800,167879,157800
325,4515559,1095188,344486,167204,179720,4515557,23829,344383,167317,179720
326,8322484,2659639,346101,169771,168840,8322481,23829,346225,169871,168840
327,7224304,2126750,331541,156280,167040,7224295,23829,331860,156312,167080
328,7788241,2391809,333956,161299,173560,4526903,23829,333961,161314,173320
329,7230614,583167,384804,121858,177880,7230616,23829,384754,121738,177960
331,4513867,1092741,389049,135162,189920,4513863,23829,388821,135205,189880
333,4513974,1093136,370255,141008,193960,4513971,23829,370083,141022,193920
335,4513929,11545803,373375,139851,192080,4513927,23829,373217,139698,192080
337,52714835,13174007,378476,115725,169640,7792693,23829,378780,115896,169760
338,7227363,2131902,360561,136488,198760,4513820,23829,360852,136404,198840
342,7797087,2400791,345772,162863,184160,7797075,23829,345843,162587,184160
345,8273058,2639491,342562,165360,176600,8273049,23829,342430,165248,176600
346,8287761,2648369,344498,163442,164840,8287742,23829,344343,163481,164880
347,7795276,2398514,344534,168380,177520,7795242,23829,344829,168239,177600
355,7854988,2429973,391299,127223,180920,7854981,23829,391335,127375,180960
357,7745861,2367948,332725,156876,166320,7224225,23829,332559,156653,166400
359,4526455,1097907,340696,156633,193160,4526453,23829,340807,156788,193160
360,6609461,1848801,347092,169602,164480,6609457,23829,346851,169475,164480
362,8285999,2647168,337701,162676,164360,8285995,23829,337813,162560,164360
367,7825864,2417700,365910,151058,183280,7825857,23829,366062,150952,183280
368,8268373,2636420,370734,111332,165400,8268357,23829,370781,111346,165240
369,8288114,2648678,342762,163596,164200,8288096,23829,343009,163711,164120
370,8268169,2636210,371727,110587,164080,8268127,23829,371466,110710,164120
371,8322570,2659939,348156,172034,168360,8322561,23829,348113,172208,168320
372,8286490,2647743,337896,162747,163120,8286425,23829,337689,162785,163240
373,7859355,2434726,387995,137046,190040,7859329,23829,388134,137067,189920
374,7797192,2400910,344380,165010,184440,4515415,23829,344529,164778,184440
380,7752177,2372500,367067,128101,193000,7752146,23829,366978,128185,193080
381,7227038,2131063,385203,136187,189600,7227027,23829,384942,136263,189720
382,8263578,2633609,367053,127595,192560,4513785,23829,367179,127167,192480
383,7797844,1906356,352382,161067,189320,7226560,23829,350367,161811,189280
384,7809783,2407426,372098,141397,192480,7809758,23829,371934,141221,192480
389,8271195,2638273,341821,164298,178360,8271096,23829,341841,164341,178480
390,8322395,2659363,345040,169321,168800,8322393,23829,344836,169273,168800
392,4513992,1093199,368639,140178,194640,4513987,23829,368792,140268,194720
393,8325075,2663569,350496,169151,160920,8325071,23829,350268,169199,160920
400,7832549,2422143,394731,128350,181880,4513595,23829,395087,128271,181800
403,4515572,1095236,344462,168330,179840,4515568,23829,344365,168116,179880
404,4526625,1098264,339912,160929,187360,4526620,23829,339694,160870,187360
405,7790957,2394109,370268,113440,165080,7790942,23829,370625,113214,165080
406,8325378,2663986,351039,169698,160080,8325375,23829,351171,169526,160080
409,7828058,2418643,382746,147263,189120,7826649,23829,382482,147153,189520
410,8267828,2635857,370877,110293,164400,8267821,23829,371077,110061,164400
411,7815968,2411892,342056,154244,195640,7815966,23829,341904,154456,195640
412,7855679,2633111,346694,162425,189760,7855657,23829,346547,162535,189840
413,3340093,743486,379289,129970,188360,3340080,23829,379691,130149,188320
414,7791066,2394227,376690,115493,166800,7791051,23829,376438,115571,166680
415,7831736,2421269,346527,162583,190520,4524863,23829,346322,162357,190480
416,52709788,13168864,332384,156306,166000,7224218,23829,332286,156468,166040
417,52709624,13168515,340240,157960,191400,9134165,23829,340080,157934,191520
419,8322574,2659954,348341,172219,168240,8322561,23829,348113,172208,168320
422,7783785,2389072,385529,122431,179680,4513716,23829,385414,121785,179560
423,7856741,2432374,386614,134293,189040,3339369,23829,386508,134258,188880
424,8268245,2636280,371160,111363,164280,8268238,23829,371104,111203,164280
425,4513687,1092078,387371,124428,180880,4513683,23829,387389,124370,180920
426,8291585,2650481,348234,168966,164120,8291583,23829,348139,169126,164120
430,7753206,2373479,383146,120072,178640,7753041,23829,383138,120180,178480
431,8325386,2664002,351322,169475,159960,8325375,23829,351171,169526,160080
434,7738603,3892453,361650,152771,186520,7736892,23829,361865,152629,186520
436,8277237,2641509,343708,165153,174000,8277233,23829,343536,165113,174000
439,7817162,2413331,341244,159649,191280,4526219,23829,341142,159479,191240
441,7226235,2128901,338161,160983,186600,4526641,23829,338636,161345,186720
442,7830697,2420428,367542,143949,197360,4514014,23829,367428,143928,197480
443,7226814,2429569,371502,147615,190720,4514281,23829,371838,147354,191320
445,7738060,2361931,367080,150993,183040,7737428,23829,366798,150948,183000
448,7827391,2418426,383427,146364,189080,7827374,23829,383616,146494,189040
449,7854876,2429842,372509,145527,190760,7854852,23829,372554,145588,190920
453,8464650,2708621,350739,160657,189960,8464643,23829,350891,160817,189960
455,8289985,2649475,347162,170163,164640,8289979,23829,347242,169995,164640
458,7860466,2435297,376951,141621,192560,7860463,23829,377195,141773,192560
461,25894364,4292232,369375,150739,185280,6551815,23829,368995,150759,185160
462,7791052,2394202,376151,115528,166680,7791051,23829,376438,115571,166680
465,7867643,1967834,348097,154478,196920,7867625,23829,348337,154551,196960
467,7785873,1091745,392500,127675,181600,4513625,23829,392294,127670,181840
470,7226543,5136822,348902,161087,189080,7226541,23829,349223,161295,189080
471,8326152,2664918,344267,160927,154440,8326141,23829,344177,160722,154400
472,7226793,2130400,371271,146948,190800,4514281,23829,371838,147354,191320
474,8277370,2641626,342289,166088,173880,8277361,23829,342481,165932,173880
475,7815945,2411875,342621,153959,195440,7815902,23829,342569,154001,195560
477,7827307,2418354,383871,147656,188960,7827290,23829,383856,147507,189000
478,7748209,2370321,344534,161975,189880,7748132,23829,344359,161971,189800
479,33495061,2396026,382073,146425,188400,12400611,23829,381858,146332,188400
480,52686561,13159645,373909,149863,187600,17974650,23829,374175,149901,187560
482,7794446,2435769,382631,120135,175000,7794437,23829,382897,119962,174920
486,7226791,2130390,370955,147383,190920,4514281,23829,371838,147354,191320
488,52715031,13174207,345631,163501,189440,8262826,23829,345713,163517,189600
491,8271975,2706851,341820,163832,178080,8271954,23829,341611,163756,178040
493,7786013,2390468,396159,129692,184120,7786001,23829,396195,129693,184000
494,7809996,2407604,372428,139902,191920,7809982,23829,372509,139942,192000
495,7815993,2396026,341808,154419,195720,7815966,23829,341904,154456,195640
496,7809114,2406577,368446,140991,194800,7809112,23829,368574,140899,194800
500,7832451,2421998,392493,128880,181440,4513580,23829,392674,128988,181480
503,7870796,2442327,366027,150354,183880,7870787,23829,366059,150554,183880
504,7820245,1706774,346005,166614,184480,7820240,23829,345865,166638,184480
507,7809277,2406809,369466,141229,193680,4513966,23829,369732,141265,193680
512,8263929,2633845,387956,125090,181360,8263921,23829,388168,124914,181360
513,8291797,1870230,348455,169807,163480,8291792,23829,348227,169831,163480
517,3339714,2633111,386648,134385,188760,3339369,23829,386508,134258,188880
518,7792836,2396009,379070,115657,169880,4514085,23829,379201,115772,170000
519,4526505,1097974,341213,156708,194000,4526501,23829,341411,156689,194000
521,7226168,2128798,338274,161754,185720,7226144,23829,337958,161616,185760
522,7789124,2392280,333343,161329,173840,7789112,23829,333695,161396,173880
523,4526449,1097887,340650,156819,192880,4526447,23829,340844,156802,192880
525,8322386,2659341,344644,169097,168560,8322378,23829,344687,169312,168480
526,7820504,2415982,346075,166566,184120,7820467,23829,346153,166786,184240
528,7861361,2435921,383973,136435,190520,7861348,23829,384170,136636,190600
529,4515617,1095404,344157,168383,178080,4515611,23829,344032,168178,178120
531,7858584,2433948,350151,162464,190360,7858579,23829,350211,162248,190360
532,4526221,1097693,341194,159345,191240,4526219,23829,341142,159479,191240
534,7787748,2664521,370269,151104,185440,7787740,23829,370235,150907,185440
535,7829168,2419382,344884,167716,179040,7829164,23829,344832,167940,179040
539,8323017,2660835,345850,170151,169640,8323006,23829,345502,170371,169640
541,4514047,1093385,381777,119182,175160,4514044,23829,381943,119116,175160
544,7794464,2397204,383458,119317,175040,7794454,23829,383308,119331,174960
547,52709266,13168093,372425,146581,191480,4514275,23829,372314,146731,191360
548,7816875,2412980,340936,156643,192800,4526447,23829,340844,156802,192880
549,8270046,2637261,342506,163802,179840,8270044,23829,342598,163898,179840
550,7814378,2409974,381967,142678,187720,7814375,23829,382159,142969,187720
552,7814561,1091983,382355,143550,187720,7814511,23829,382410,143818,187880
555,40473577,3136591,346227,169486,164480,40473581,23829,346331,169428,164400
556,7791841,2395086,377934,115138,168680,7791823,23829,377924,115240,168640
557,7787889,2419838,372937,149720,187640,7787876,23829,373044,150050,187640
558,8322542,2659843,347825,171058,168080,8322533,23829,347917,171318,168080
560,7854804,2429745,372772,145127,190480,7854765,23829,372864,145180,190640
561,4513680,1092052,391267,126852,181160,4513679,23829,391393,126983,181160
563,4526332,1097775,341117,158992,191720,4526327,23829,340963,158926,191760
564,7785924,2390397,394382,129375,182040,4513603,23829,394582,129305,182040
565,7738398,2362300,360393,152366,186800,7736912,23829,360573,152324,186840
566,7787181,2390717,369503,149694,184040,7787159,23829,369572,149854,184200
569,8291462,2650425,348513,169447,165120,8291450,23829,348300,169320,165040
571,7227071,2131147,388541,136939,189400,7227068,23829,388597,136751,189400
573,24027941,11522315,364199,150465,183760,7736720,23829,364097,150669,184040
574,8322613,2660062,348483,172116,167840,8322607,23829,348386,172112,167760
577,8286017,2647194,337661,162724,164320,8285995,23829,337813,162560,164360
578,8276856,2641319,343052,166308,174240,8276854,23829,343080,166100,174240
579,7224232,2126609,332751,156536,166400,7224225,23829,332559,156653,166400
580,3339549,743081,388121,134043,188320,3339508,23829,388253,134066,188440
581,8268256,2636300,370851,111067,164280,8268238,23829,371104,111203,164280
587,7826084,2417836,366106,149861,183280,7826034,23829,366540,150017,183360
590,7809789,2407437,370986,140959,192520,4513943,23829,371136,140897,192400
591,7860112,2435009,395665,128766,181360,7860109,23829,396005,128926,181360
592,7796756,2400331,344076,164766,183360,4515513,23829,344087,164991,183240
594,7224746,2127430,331795,159695,176920,4527570,23829,332099,159929,176920
595,7226359,2129132,342037,162469,188560,7226353,23829,342066,162249,188640
596,7830521,2420253,366653,144333,197960,7830488,23829,366826,144181,197960
597,8281218,2643850,346644,168602,166120,8281205,23829,346872,168825,166080
598,7794485,2397282,382258,119379,175720,7794474,23829,382330,119833,175640
603,8325610,2664406,351449,169626,160840,8325600,23829,351555,169669,160720
604,3339340,742927,387479,134027,188920,3339321,23829,387512,134164,188880
606,4526623,1098254,339648,160703,187360,4526620,23829,339694,160870,187360
607,7796470,2399841,344070,166674,181480,7796460,23829,343998,166668,181600
608,7860416,2435266,377767,141139,192440,7860390,23829,377703,141240,192320
611,7739500,2363533,363096,151848,185640,7736833,23829,362652,151855,185680
614,8722059,2649508,332774,160839,175400,7224555,23829,332909,160671,175640
615,7867923,2440540,348701,154983,196520,7867892,23829,348660,155174,196600
618,7814517,2410227,382538,143818,187880,7814511,23829,382410,143818,187880
620,7794456,2397168,383428,119404,174960,7794454,23829,383308,119331,174960
622,8270505,2637685,342136,163863,179400,8270471,23829,342073,164110,179240
624,7789209,2392385,334139,161911,174040,4526850,23829,334054,162265,174000
627,7809355,2406990,370483,141309,193080,7809343,23829,370517,141181,193120
630,8267685,2635683,371815,111200,164720,8267644,23829,371707,111137,164640
631,8454357,2419588,374976,149597,187480,8270173,23829,374926,149723,187600
632,4526955,1098607,338429,160933,186240,4526954,23829,338423,161063,186240
633,7831633,2421166,369507,149760,183560,7831618,23829,369451,149956,183560
634,52714099,13173338,343303,154028,195520,7815826,23829,343171,153929,195600
635,7818960,11524508,348174,163897,191000,4523955,23829,347764,163682,191000
636,8325651,2664485,344339,161594,155160,8323831,23829,344486,161590,155280
639,4525692,2402951,341274,159883,190880,4525688,23829,341324,160058,190880
642,8324371,2662748,345076,161312,154200,8324370,23829,345104,161524,154200
644,4513868,1092746,388844,135394,189760,4513863,23829,388821,135205,189880
645,7816868,2412970,340738,156799,192960,4526447,23829,340844,156802,192880
646,8322741,2660332,349662,172876,166720,8322724,23829,349429,172624,166840
648,7226408,2129359,340198,161208,188880,7226390,23829,340866,161060,188880
649,7858416,2433723,351013,162171,190960,7858407,23829,350769,162239,190960
652,4514072,1093544,379653,116861,170480,4514071,23829,379646,116746,170480
655,7794397,2633111,381825,118932,174960,4514044,23829,381943,119116,175160
662,6550437,1098883,332306,160459,176120,7224590,23829,332638,160570,176160
664,4524100,1096689,347131,163309,190680,4524096,23829,347279,163304,190680
665,7860521,1936089,377760,141538,192720,7860505,23829,377645,141384,192760
666,7814249,2409801,382070,143935,187280,7814243,23829,381878,143903,187280
667,7226357,2129122,342390,162365,188640,7226353,23829,342066,162249,188640
668,7227378,2131948,361973,135321,198440,4513809,23829,361657,135647,198320
669,8292093,2650862,347623,170523,163000,8292083,23829,347799,170375,163000
670,7791279,2394527,377278,115681,167520,7791244,23829,377187,115468,167480
671,7784616,2390000,388110,123939,180000,7784612,23829,388342,123815,180000
672,4514155,1093770,377394,114839,167880,4514152,23829,377252,114964,167840
675,16943944,1101751,370276,113282,164360,8264871,23829,370517,113171,164440
677,8263131,2633422,372809,140309,191520,5408922,23829,372879,140499,191440
678,52685444,13157818,379845,131207,189280,44767278,23829,379785,131097,189160
679,7854413,2429040,355594,157692,192800,7854404,23829,355499,157657,192640
683,7225072,2127945,335971,160244,185320,7225070,23829,336199,160204,185320
684,8286088,2647306,338387,163352,164200,8286077,23829,338266,163167,164280
686,7224377,2126870,331451,156701,167120,7224363,23829,331675,156699,167200
